company,ticker,negative,neutral,positive,netsent,stockb,stocka,category
Activision Blizzard,ATVI,4,7,5,-0.4099999511241903,81.9900,78.7500,Decrease
Activision Blizzard,ATVI,5,6,5,0.20999997869134024,82.0200,81.9900,Decrease
Activision Blizzard,ATVI,4,9,3,0.04000001385808094,81.4650,82.0200,Increase
Activision Blizzard,ATVI,5,4,7,1.3400000488758093,79.4200,81.4650,Increase
Adobe,ADBE,0,10,6,1.2200000043213362,496.7800,502.1700,Increase
Adobe,ADBE,2,8,6,0.7200000743567958,489.3900,496.7800,Increase
Adobe,ADBE,1,7,8,3.3699999827146545,475.8600,489.3900,Increase
Adobe,ADBE,1,6,9,8.020000130236149,490.4400,475.8600,Decrease
Advanced Micro Devices,AMD,1,7,8,2.2199999812245377,84.6500,85.7500,Increase
Advanced Micro Devices,AMD,1,5,10,3.509999986886978,79.5700,84.6500,Increase
Advanced Micro Devices,AMD,2,10,4,0.8200000140070913,77.9800,79.5700,Increase
Advanced Micro Devices,AMD,7,7,2,-1.4200000542402276,78.8200,77.9800,Decrease
Align Technology,ALGN,4,8,4,1.240000065267087,319.1300,331.8550,Increase
Align Technology,ALGN,1,11,4,1.0000000469386587,328.7800,319.1300,Decrease
Align Technology,ALGN,4,7,5,0.21000000178813893,322.5600,328.7800,Increase
Align Technology,ALGN,3,10,3,0.44999996870756187,326.5950,322.5600,Decrease
Alexion Pharmaceuticals,ALXN,2,10,4,0.7199999499320981,115.2500,128.5700,Increase
Alexion Pharmaceuticals,ALXN,1,7,2,0.04000001087784777,115.7600,115.2500,Decrease
Alexion Pharmaceuticals,ALXN,2,8,3,-0.65999995931983,112.4300,115.7600,Increase
Alexion Pharmaceuticals,ALXN,2,9,5,0.4200000184774395,110.6200,112.4300,Increase
Amazon.com,AMZN,11,5,0,-4.45000011175871,3195.7965,3288.9900,Increase
Amazon.com,AMZN,4,12,0,-0.740000041425229,3175.0400,3195.7965,Increase
Amazon.com,AMZN,4,11,1,-0.6200000095367431,2962.0000,3175.0400,Increase
Amazon.com,AMZN,4,10,2,-1.0200000005960468,3187.3900,2962.0000,Decrease
Amgen,AMGN,2,13,1,-0.02000000432133686,254.6600,239.5800,Decrease
Amgen,AMGN,2,10,4,1.6299999837577348,249.0400,254.6600,Increase
Amgen,AMGN,4,7,5,-0.11999994695186611,247.0400,249.0400,Increase
Amgen,AMGN,2,10,4,1.0699999961256996,247.8400,247.0400,Decrease
American Airlines,AAL,10,6,0,-4.560000073313715,13.3500,13.4900,Increase
American Airlines,AAL,6,8,2,-1.490000019073487,13.1500,13.3500,Increase
American Airlines,AAL,7,8,1,-2.270000013262035,12.9800,13.1500,Increase
American Airlines,AAL,7,8,1,-1.160000018179417,13.2900,12.9800,Decrease
Analog Devices,ADI,2,8,6,2.85999987140298,117.9500,124.4100,Increase
Analog Devices,ADI,3,3,10,3.2900001248717334,117.0700,117.9500,Increase
Analog Devices,ADI,2,7,7,3.6699999275803585,114.0400,117.0700,Increase
Analog Devices,ADI,3,8,5,-0.2599999675154679,115.7800,114.0400,Decrease
Apple,AAPL,3,9,4,-0.6500000126659864,115.3700,117.0000,Increase
Apple,AAPL,2,10,4,1.4000000298023223,115.3200,115.3700,Increase
Apple,AAPL,3,7,6,1.9400000645220299,110.1900,115.3200,Increase
Apple,AAPL,1,8,7,1.9900000272691252,115.9300,110.1900,Decrease
Applied Materials,AMAT,3,6,7,1.5500001929700415,59.6600,63.8100,Increase
Applied Materials,AMAT,7,3,6,0.8500000201165665,59.8500,59.6600,Decrease
Applied Materials,AMAT,1,11,4,-0.07999995246529457,57.3600,59.8500,Increase
Applied Materials,AMAT,8,6,2,-1.590000106245281,57.1150,57.3600,Increase
ASML Holding NV,ASML,1,0,0,-0.09000000715255752,375.7200,389.9750,Increase
ASML Holding NV,ASML,0,0,0,0,371.4900,375.7200,Increase
ASML Holding NV,ASML,0,0,0,0,363.0000,371.4900,Increase
ASML Holding NV,ASML,0,2,2,0.620000055730344,369.9800,363.0000,Decrease
Autodesk,ADSK,1,2,13,3.620000084042549,231.1400,238.1400,Increase
Autodesk,ADSK,2,6,8,1.3299999338388442,234.3400,231.1400,Decrease
Autodesk,ADSK,3,7,6,0.6200000602006921,227.7600,234.3400,Increase
Autodesk,ADSK,2,8,6,0.6000000141561035,232.8950,227.7600,Decrease
Automatic Data Processing,ADP,4,7,5,-0.6500000640749936,139.3200,150.0800,Increase
Automatic Data Processing,ADP,3,8,5,0.8000000111758707,138.0400,139.3200,Increase
Automatic Data Processing,ADP,4,9,3,0.0299999807775011,132.7900,138.0400,Increase
Automatic Data Processing,ADP,5,8,3,-1.7199999879300594,137.2800,132.7900,Decrease
Broadcom,AVGO,5,8,3,-0.3000000327825555,364.9200,380.0000,Increase
Broadcom,AVGO,4,9,3,-0.8099999809265136,368.4300,364.9200,Decrease
Broadcom,AVGO,2,8,6,1.8400000317394731,351.9600,368.4300,Increase
Broadcom,AVGO,4,10,2,0.359999954104424,365.8900,351.9600,Decrease
Baidu,BIDU,5,8,3,-0.31000001072883565,126.0900,127.6400,Increase
Baidu,BIDU,1,10,5,1.0500000134110448,126.1200,126.0900,Decrease
Baidu,BIDU,1,7,8,1.370000005066395,124.6600,126.1200,Increase
Baidu,BIDU,3,8,5,-0.09000000640749939,122.8900,124.6600,Increase
Biogen,BIIB,3,10,3,0.3699999827146526,285.4700,289.0000,Increase
Biogen,BIIB,0,13,3,0.7099999988079071,287.9500,285.4700,Decrease
Biogen,BIIB,2,10,4,0.040000014603137735,272.7000,287.9500,Increase
Biogen,BIIB,2,11,3,0.13999995127320342,279.4000,272.7000,Decrease
Biomarin Pharmaceutical,BMRN,1,15,0,-0.4000000126659872,76.0400,80.1900,Increase
Biomarin Pharmaceutical,BMRN,3,12,1,-0.6400000235438348,79.2100,76.0400,Decrease
Biomarin Pharmaceutical,BMRN,1,7,0,-0.32000002741813716,78.6300,79.2100,Increase
Biomarin Pharmaceutical,BMRN,1,6,3,-0.07999997258186298,76.1400,78.6300,Increase
Cadence Design Systems,CDNS,1,10,5,1.7200000706315048,107.4700,112.3000,Increase
Cadence Design Systems,CDNS,3,5,8,0.43000000163912755,105.3250,107.4700,Increase
Cadence Design Systems,CDNS,1,7,8,3.219999909698964,102.1300,105.3250,Increase
Cadence Design Systems,CDNS,3,10,3,-0.6299999979138373,104.0350,102.1300,Decrease
Cerner,CERN,0,10,6,2.3600000338256373,71.9800,73.1800,Increase
Cerner,CERN,3,8,5,-0.5400000399351128,71.6300,71.9800,Increase
Cerner,CERN,1,12,3,-0.4000000029802321,69.0400,71.6300,Increase
Cerner,CERN,1,9,6,2.0800000023841867,72.5500,69.0400,Decrease
Check Point Software Technologies,CHKP,2,7,7,1.1100000122189524,119.4700,125.2400,Increase
Check Point Software Technologies,CHKP,3,8,5,1.1299999420344822,122.2900,119.4700,Decrease
Check Point Software Technologies,CHKP,5,8,3,-0.1600000353157529,117.1350,122.2900,Increase
Check Point Software Technologies,CHKP,1,5,10,3.4800001744926,121.4300,117.1350,Decrease
Charter Communications,CHTR,8,5,3,-1.7499999746680266,633.1700,639.3400,Increase
Charter Communications,CHTR,2,12,2,0.11999998494982711,633.6400,633.1700,Decrease
Charter Communications,CHTR,5,9,2,-1.4300000031292441,625.9200,633.6400,Increase
Charter Communications,CHTR,4,7,5,-0.8099999943375589,613.5900,625.9200,Increase
Trip.com,TCOM,2,8,3,-0.9200000497698793,31.2500,32.9400,Increase
Trip.com,TCOM,1,15,0,-0.5900000302493578,32.1100,31.2500,Decrease
